date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-01-03,10:53 PM,11 °F,0 °F,61 %,NW,10 mph,0 mph,29.53 in,0.0 in,Mostly Cloudy
2018-01-03,11:53 PM,10 °F,-1 °F,61 %,NNW,14 mph,0 mph,29.53 in,0.0 in,Partly Cloudy
2018-01-03,12:53 AM,8 °F,-2 °F,64 %,NW,15 mph,0 mph,29.54 in,0.0 in,Fair
2018-01-04,1:53 AM,6 °F,-3 °F,67 %,NNW,15 mph,0 mph,29.54 in,0.0 in,Fair
2018-01-04,2:53 AM,6 °F,-4 °F,63 %,NNW,15 mph,0 mph,29.56 in,0.0 in,Partly Cloudy
2018-01-04,3:53 AM,5 °F,-4 °F,66 %,NW,14 mph,0 mph,29.57 in,0.0 in,Fair
2018-01-04,4:53 AM,4 °F,-5 °F,66 %,NNW,14 mph,0 mph,29.57 in,0.0 in,Fair
2018-01-04,5:53 AM,3 °F,-5 °F,69 %,NNW,14 mph,0 mph,29.58 in,0.0 in,Fair
2018-01-04,6:53 AM,2 °F,-6 °F,69 %,NNW,14 mph,0 mph,29.59 in,0.0 in,Fair
2018-01-04,7:53 AM,2 °F,-6 °F,69 %,NNW,10 mph,0 mph,29.61 in,0.0 in,Fair
2018-01-04,8:39 AM,3 °F,-4 °F,73 %,NNW,8 mph,0 mph,29.61 in,0.0 in,Light Snow
2018-01-04,8:53 AM,3 °F,-4 °F,73 %,NW,12 mph,0 mph,29.61 in,0.0 in,Light Snow
2018-01-04,9:21 AM,2 °F,-5 °F,72 %,NNW,12 mph,0 mph,29.62 in,0.0 in,Fair
2018-01-04,9:53 AM,4 °F,-5 °F,66 %,NNW,9 mph,0 mph,29.62 in,0.0 in,Fair
2018-01-04,10:53 AM,7 °F,-3 °F,64 %,NW,13 mph,0 mph,29.63 in,0.0 in,Fair
2018-01-04,11:53 AM,9 °F,-4 °F,56 %,NW,14 mph,0 mph,29.62 in,0.0 in,Fair
2018-01-04,12:53 PM,10 °F,-4 °F,53 %,NNW,15 mph,0 mph,29.60 in,0.0 in,Fair
2018-01-04,1:53 PM,11 °F,-4 °F,51 %,NW,13 mph,0 mph,29.60 in,0.0 in,Fair
2018-01-04,2:53 PM,13 °F,-2 °F,51 %,NW,12 mph,0 mph,29.60 in,0.0 in,Fair
2018-01-04,3:53 PM,13 °F,-3 °F,49 %,NNW,13 mph,0 mph,29.60 in,0.0 in,Fair
2018-01-04,4:53 PM,12 °F,-3 °F,51 %,NNW,10 mph,0 mph,29.61 in,0.0 in,Fair
2018-01-04,5:53 PM,10 °F,-4 °F,53 %,NW,10 mph,0 mph,29.62 in,0.0 in,Fair
2018-01-04,6:53 PM,8 °F,-4 °F,58 %,NW,14 mph,0 mph,29.63 in,0.0 in,Fair
2018-01-04,7:53 PM,8 °F,-4 °F,58 %,NNW,12 mph,0 mph,29.64 in,0.0 in,Fair
2018-01-04,8:53 PM,6 °F,-4 °F,63 %,NW,10 mph,0 mph,29.64 in,0.0 in,Fair
2018-01-04,9:53 PM,5 °F,-4 °F,66 %,NW,8 mph,0 mph,29.64 in,0.0 in,Fair
2018-01-04,10:53 PM,4 °F,-4 °F,70 %,NW,7 mph,0 mph,29.64 in,0.0 in,Fair
2018-01-04,11:53 PM,3 °F,-4 °F,73 %,WNW,5 mph,0 mph,29.65 in,0.0 in,Fair
2018-01-04,12:53 AM,3 °F,-4 °F,73 %,NW,6 mph,0 mph,29.64 in,0.0 in,Fair
2018-01-05,1:53 AM,2 °F,-4 °F,76 %,WNW,6 mph,0 mph,29.64 in,0.0 in,Fair
2018-01-05,2:53 AM,2 °F,-5 °F,72 %,WNW,8 mph,0 mph,29.65 in,0.0 in,Fair
2018-01-05,3:53 AM,2 °F,-5 °F,72 %,WNW,9 mph,0 mph,29.65 in,0.0 in,Fair
2018-01-05,4:53 AM,1 °F,-5 °F,75 %,WNW,10 mph,0 mph,29.66 in,0.0 in,Fair
2018-01-05,5:53 AM,0 °F,-6 °F,76 %,WNW,7 mph,0 mph,29.67 in,0.0 in,Fair
2018-01-05,6:53 AM,0 °F,-6 °F,76 %,NW,7 mph,0 mph,29.68 in,0.0 in,Fair
2018-01-05,7:53 AM,1 °F,-7 °F,69 %,NW,10 mph,0 mph,29.69 in,0.0 in,Fair
2018-01-05,8:53 AM,1 °F,-7 °F,69 %,NW,12 mph,0 mph,29.70 in,0.0 in,Fair
2018-01-05,9:53 AM,5 °F,-7 °F,58 %,NNW,20 mph,0 mph,29.71 in,0.0 in,Fair
2018-01-05,10:53 AM,6 °F,-6 °F,58 %,NW,20 mph,0 mph,29.72 in,0.0 in,Fair
2018-01-05,11:53 AM,8 °F,-6 °F,53 %,NNW,16 mph,0 mph,29.73 in,0.0 in,Fair
2018-01-05,12:53 PM,10 °F,-5 °F,51 %,NW,14 mph,0 mph,29.72 in,0.0 in,Fair
2018-01-05,1:53 PM,10 °F,-5 °F,51 %,NW,14 mph,0 mph,29.72 in,0.0 in,Fair
2018-01-05,2:53 PM,11 °F,-5 °F,49 %,NNW,13 mph,0 mph,29.73 in,0.0 in,Fair
2018-01-05,3:53 PM,11 °F,-6 °F,47 %,NW,13 mph,20 mph,29.74 in,0.0 in,Fair
2018-01-05,4:53 PM,11 °F,-6 °F,47 %,NNW,12 mph,0 mph,29.75 in,0.0 in,Fair
2018-01-05,5:53 PM,9 °F,-6 °F,51 %,NNW,9 mph,0 mph,29.77 in,0.0 in,Fair
2018-01-05,6:53 PM,9 °F,-5 °F,53 %,NW,9 mph,0 mph,29.79 in,0.0 in,Fair
2018-01-05,7:53 PM,7 °F,-5 °F,58 %,WNW,7 mph,0 mph,29.80 in,0.0 in,Fair
2018-01-05,8:53 PM,6 °F,-5 °F,60 %,WNW,7 mph,0 mph,29.81 in,0.0 in,Fair
2018-01-05,9:53 PM,5 °F,-5 °F,63 %,NW,8 mph,0 mph,29.83 in,0.0 in,Fair
2018-01-05,10:53 PM,5 °F,-6 °F,61 %,NNW,8 mph,0 mph,29.83 in,0.0 in,Fair
2018-01-05,11:53 PM,4 °F,-6 °F,64 %,NW,6 mph,0 mph,29.83 in,0.0 in,Fair
2018-01-05,12:53 AM,3 °F,-6 °F,66 %,NW,7 mph,0 mph,29.83 in,0.0 in,Fair
2018-01-06,1:53 AM,3 °F,-6 °F,66 %,WNW,7 mph,0 mph,29.84 in,0.0 in,Fair
2018-01-06,2:53 AM,2 °F,-6 °F,69 %,WNW,7 mph,0 mph,29.85 in,0.0 in,Fair
2018-01-06,3:53 AM,1 °F,-6 °F,72 %,WNW,8 mph,0 mph,29.87 in,0.0 in,Fair
2018-01-06,4:53 AM,1 °F,-7 °F,69 %,WNW,8 mph,0 mph,29.87 in,0.0 in,Fair
2018-01-06,5:53 AM,0 °F,-8 °F,69 %,WNW,6 mph,0 mph,29.89 in,0.0 in,Fair
2018-01-06,6:53 AM,0 °F,-8 °F,69 %,NW,6 mph,0 mph,29.89 in,0.0 in,Cloudy
2018-01-06,7:53 AM,0 °F,-8 °F,69 %,NW,9 mph,0 mph,29.89 in,0.0 in,Cloudy
2018-01-06,8:53 AM,0 °F,-7 °F,72 %,NW,7 mph,0 mph,29.91 in,0.0 in,Fair
2018-01-06,9:53 AM,3 °F,-6 °F,66 %,NW,6 mph,0 mph,29.93 in,0.0 in,Fair
2018-01-06,10:53 AM,7 °F,-4 °F,61 %,NNW,8 mph,0 mph,29.94 in,0.0 in,Fair
2018-01-06,11:53 AM,11 °F,-4 °F,51 %,NNW,9 mph,0 mph,29.93 in,0.0 in,Fair
2018-01-06,12:53 PM,14 °F,-4 °F,45 %,NNW,6 mph,0 mph,29.92 in,0.0 in,Fair
2018-01-06,1:53 PM,14 °F,-3 °F,47 %,VAR,3 mph,0 mph,29.90 in,0.0 in,Fair
2018-01-06,2:53 PM,16 °F,-4 °F,41 %,CALM,0 mph,0 mph,29.88 in,0.0 in,Fair
2018-01-06,3:53 PM,15 °F,-3 °F,45 %,SW,5 mph,0 mph,29.88 in,0.0 in,Fair
2018-01-06,4:53 PM,16 °F,-5 °F,39 %,S,3 mph,0 mph,29.86 in,0.0 in,Fair
2018-01-06,5:53 PM,15 °F,-5 °F,41 %,SSW,6 mph,0 mph,29.85 in,0.0 in,Fair
2018-01-06,6:53 PM,14 °F,-3 °F,47 %,S,6 mph,0 mph,29.83 in,0.0 in,Cloudy
2018-01-06,7:53 PM,12 °F,-2 °F,53 %,SSW,8 mph,0 mph,29.84 in,0.0 in,Cloudy
2018-01-06,8:53 PM,9 °F,-1 °F,64 %,SSW,8 mph,0 mph,29.83 in,0.0 in,Cloudy
2018-01-06,9:53 PM,8 °F,-2 °F,64 %,S,8 mph,0 mph,29.79 in,0.0 in,Cloudy
2018-01-06,10:53 PM,7 °F,-4 °F,61 %,S,8 mph,0 mph,29.78 in,0.0 in,Partly Cloudy
2018-01-06,11:53 PM,7 °F,-5 °F,58 %,S,6 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2018-01-06,12:53 AM,8 °F,-4 °F,58 %,S,7 mph,0 mph,29.73 in,0.0 in,Cloudy
2018-01-07,1:53 AM,9 °F,-3 °F,59 %,S,12 mph,0 mph,29.71 in,0.0 in,Cloudy
2018-01-07,2:53 AM,11 °F,0 °F,61 %,S,12 mph,0 mph,29.69 in,0.0 in,Cloudy
2018-01-07,3:53 AM,13 °F,1 °F,59 %,S,9 mph,0 mph,29.66 in,0.0 in,Cloudy
2018-01-07,4:53 AM,15 °F,2 °F,56 %,S,13 mph,0 mph,29.63 in,0.0 in,Cloudy
2018-01-07,5:53 AM,16 °F,4 °F,59 %,S,15 mph,25 mph,29.61 in,0.0 in,Light Snow
