id,lat,lon,name,poi_type,h3_res_4,h3_res_6,h3_res_8,census_tract
11277171689,41.8085565,-87.685723,Tacos De Canasta,restaurant,842664dffffffff,862664cd7ffffff,882664cd41fffff,17031580800
11289306425,41.9314331,-87.7110241,Don Bucio’s Taqueria,restaurant,842664dffffffff,862664ca7ffffff,882664ca03fffff,17031220602
11289306429,41.9309656,-87.7102636,Gorilla Sushi,restaurant,842664dffffffff,862664ca7ffffff,882664ca03fffff,17031220602
11289313459,41.9171488,-87.6876795,Infuzed Cafe,cafe,842664dffffffff,862664cafffffff,882664ca13fffff,17031832400
11289374798,41.9253857,-87.7011429,Welcome Back Lounge,bar,842664dffffffff,862664ca7ffffff,882664ca11fffff,17031220400
11289381042,41.9226294,-87.6965983,Sushi Taku,restaurant,842664dffffffff,862664ca7ffffff,882664ca11fffff,17031221400
11289409770,41.9196072,-87.6917187,Nomo Nomo Japanese Pub + Grill,restaurant,842664dffffffff,862664ca7ffffff,882664ca13fffff,17031221500
11289409775,41.9185577,-87.6899465,Bad Habit,bar,842664dffffffff,862664ca7ffffff,882664ca13fffff,17031221500
11294330858,41.944613,-87.6541003,Rice N' Bread,restaurant,842664dffffffff,862664c17ffffff,882664c163fffff,17031062100
11300504659,41.7214335,-87.5812959,BJ's Market & Bakery,restaurant,842664dffffffff,862664ccfffffff,882664cc83fffff,17031510300
11301203122,41.9143769,-87.6839095,thrd,cafe,842664dffffffff,862664cafffffff,882664cacdfffff,17031222200
11303797664,41.8838937,-87.6287588,Starbucks,cafe,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
11305049763,41.9400919,-87.6501543,Taipei Cafe,cafe,842664dffffffff,862664c17ffffff,882664c163fffff,17031062100
11347973830,41.7900058,-87.7036964,Taquería Atotonilco,restaurant,842664dffffffff,862664cd7ffffff,882664cd01fffff,17031630900
11365170353,41.8521374,-87.6318572,May Flower,restaurant,842664dffffffff,862664cf7ffffff,882664cf4bfffff,17031841100
11365170355,41.8543838,-87.6326551,Tiger Sugar,cafe,842664dffffffff,862664cf7ffffff,882664cf4bfffff,17031841100
11365170357,41.853892,-87.633808,Hing Kee,restaurant,842664dffffffff,862664cf7ffffff,882664cf4bfffff,17031841100
11375545489,41.9681634,-87.7449839,La Fogata,restaurant,842664dffffffff,862664d9fffffff,882664d9bbfffff,17031140400
11380207950,41.7858101,-87.7425777,Cielo Cantina,restaurant,842664dffffffff,862664527ffffff,882664cd25fffff,17031980100
11382939580,41.7836008,-87.7231453,Tamales Rebe,restaurant,842664dffffffff,862664cd7ffffff,882664cd21fffff,17031650200
11406366891,41.9960703,-87.6757846,Safari Somali Cuisine,restaurant,842664dffffffff,862664d8fffffff,882664d88dfffff,17031020902
11411670836,41.8565237,-87.6625356,Giant Penny Whistle,bar,842664dffffffff,862664cf7ffffff,882664cf69fffff,17031310600
